2025-04-15 14:06:10,307 - ra_aid - DEBUG - Logging configuration: log_mode=file, log_level=debug, root_level=10, logger_level=10, file_level=10, propagate=True
2025-04-15 14:06:10,307 - ra_aid - INFO - Log file created: /home/arnold/Projects/experiments/ra-aid-workspace/.ra-aid/logs/ra_aid_20250415_140610.log
2025-04-15 14:06:10,307 - ra_aid.ra_aid.__main__ - DEBUG - Starting RA.Aid with arguments: Namespace(message='If we have a slow internet connection and the prompt and responses are big, we sometimes have a timeout, update the app to use streaming for all model requests internally\n**You are required to**\n- Analyze the codebase and understand how it works before starting to generate code.\n- Research online about the latest best practises and dependency versions beforehand.\n- Lookup and research about required dependencies, their latest versions and how to use them beforehand.\n- Generate a detailed, extensive and complete plan with detailed milestones, descriptions and detailed subtasks for the users project following best practices for project planning and management\n- Always document your code with proper doc comments.\n- Always create unit and integration tests when applicable\n- Always make sure your code compiles and all tests pass\n- Frequently commit your changes using git with a descriptive message\n- Keep filesize low, split code file into hierarchically organized, well structured and named sub modules.\n- For time estimations, use a combination as this library will be implemented by an AI agent and there the implementation time is reduced, but add some margin for human intervention and testing.\n', msg_file='/tmp/tmp.r3TVZtWL5S', research_only=False, provider='openrouter', model='google/gemini-2.5-pro-exp-03-25:free', num_ctx=262144, research_provider='openrouter', research_model='google/gemini-2.5-pro-exp-03-25:free', planner_provider='openrouter', planner_model='google/gemini-2.5-pro-exp-03-25:free', cowboy_mode=True, expert_provider='openrouter', expert_model='deepseek/deepseek-r1', expert_num_ctx=262144, hil=False, chat=False, log_mode='file', pretty_logger=True, log_level='debug', temperature=0.6, disable_limit_tokens=True, experimental_fallback_handler=True, recursion_limit=100, aider_config=None, use_aider=False, test_cmd=None, auto_test=False, max_test_cmd_retries=3, test_cmd_timeout=300, server=False, server_host='0.0.0.0', server_port=1818, wipe_project_memory=False, project_state_dir=None, show_thoughts=False, show_cost=True, track_cost=True, reasoning_assistance=True, no_reasoning_assistance=False, custom_tools=None)
2025-04-15 14:06:10,307 - ra_aid.ra_aid.__main__ - INFO - Fetching fresh model data from OpenRouter...
2025-04-15 14:06:10,308 - markdown_it.rules_block.code - DEBUG - entering code: StateBlock(line=0,level=0,tokens=0), 0, 1, False
2025-04-15 14:06:10,308 - markdown_it.rules_block.fence - DEBUG - entering fence: StateBlock(line=0,level=0,tokens=0), 0, 1, False
2025-04-15 14:06:10,308 - markdown_it.rules_block.blockquote - DEBUG - entering blockquote: StateBlock(line=0,level=0,tokens=0), 0, 1, False
2025-04-15 14:06:10,308 - markdown_it.rules_block.hr - DEBUG - entering hr: StateBlock(line=0,level=0,tokens=0), 0, 1, False
2025-04-15 14:06:10,308 - markdown_it.rules_block.list - DEBUG - entering list: StateBlock(line=0,level=0,tokens=0), 0, 1, False
2025-04-15 14:06:10,308 - markdown_it.rules_block.reference - DEBUG - entering reference: StateBlock(line=0,level=0,tokens=0), 0, 1, False
2025-04-15 14:06:10,308 - markdown_it.rules_block.html_block - DEBUG - entering html_block: StateBlock(line=0,level=0,tokens=0), 0, 1, False
2025-04-15 14:06:10,308 - markdown_it.rules_block.heading - DEBUG - entering heading: StateBlock(line=0,level=0,tokens=0), 0, 1, False
2025-04-15 14:06:10,308 - markdown_it.rules_block.lheading - DEBUG - entering lheading: StateBlock(line=0,level=0,tokens=0), 0, 1, False
2025-04-15 14:06:10,308 - markdown_it.rules_block.paragraph - DEBUG - entering paragraph: StateBlock(line=0,level=0,tokens=0), 0, 1, False
2025-04-15 14:06:10,309 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): openrouter.ai:443
2025-04-15 14:06:10,443 - urllib3.connectionpool - DEBUG - https://openrouter.ai:443 "GET /api/v1/models HTTP/1.1" 200 None
2025-04-15 14:06:10,514 - ra_aid.ra_aid.__main__ - DEBUG - Models data updated at /home/arnold/.ra-aid/cache/models.openrouter.json
